Date,NIFTY,BANKNIFTY,NIFTY_norm,BANKNIFTY_norm
2023-02-20,17844.599609375,40701.69921875,98.0609941254215,94.21013248289285
2023-02-21,17826.69921875,40673.6015625,97.96262654428516,94.14509628124573
2023-02-22,17554.30078125,39995.8984375,96.46572203736487,92.57645166896113
2023-02-23,17511.25,40001.55078125,96.22914612646389,92.58953485869884
2023-02-24,17465.80078125,39909.3984375,95.97939014031628,92.37623456215258
2023-02-27,17392.69921875,40307.1015625,95.57767690226159,93.29677755702218
2023-02-28,17303.94921875,40269.05078125,95.08997118629479,93.20870336819351
2023-03-01,17450.900390625,40698.1484375,95.89750838619852,94.20191367192423
2023-03-02,17321.900390625,40389.80078125,95.18861782439889,93.48819719070372
2023-03-03,17594.349609375,41251.3515625,96.68580138828695,95.48238452932253
2023-03-06,17711.44921875,41350.3984375,97.32929602298742,95.7116432432061
2023-03-08,17754.400390625,41577.1015625,97.56532455291317,96.23638132172584
2023-03-09,17589.599609375,41256.75,96.65969882884083,95.49488001530561
2023-03-10,17412.900390625,40485.44921875,95.68868791062964,93.70958971587146
2023-03-13,17154.30078125,39564.69921875,94.26761176821871,91.5783769864613
2023-03-14,17043.30078125,39411.3984375,93.65763616853066,91.22353954260734
2023-03-15,16972.150390625,39051.5,93.26664515781424,90.39050111600422
2023-03-16,16985.599609375,39132.6015625,93.34055232243014,90.5782227368297
2023-03-17,17100.05078125,39598.1015625,93.96949306296577,91.65569167578211
2023-03-20,16988.400390625,39361.94921875,93.35594338749829,91.10908197599385
2023-03-21,17107.5,39894.69921875,94.0104285735445,92.34221103555753
2023-03-22,17151.900390625,39999.05078125,94.25442096001177,92.58374823711478
2023-03-23,17076.900390625,39616.8984375,93.84227528454687,91.69919983681727
2023-03-24,16945.05078125,39395.3515625,93.11772533367164,91.18639666531465
2023-03-27,16985.69921875,39431.30078125,93.34109970340538,91.26960647537422
2023-03-28,16951.69921875,39567.8984375,93.15426033052795,91.58578205376965
2023-03-29,17080.69921875,39910.1484375,93.86315089232758,92.37797054862779
2023-03-31,17359.75,40608.6484375,95.3966118620248,93.99475261921481
2023-04-03,17398.05078125,40813.05078125,95.60708521347966,94.46787222488547
